source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,ACTIVE,True,5,1.0,1.0,0,200,33,
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,5,1.0,1.0,0,200,380,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,5,1.0,1.0,0,200,375,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,5,1.0,1.0,0,200,391,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,5,1.0,1.0,0,200,534,
KMA,Open-Meteo / KMA,ACTIVE,True,5,1.0,1.0,0,200,373,
METEOFRANCE,Open-Meteo / Meteo-France,ACTIVE,True,5,1.0,1.0,0,200,377,
METNO,MET Norway,ACTIVE,True,5,1.0,1.0,0,200,406,
UKMO,Open-Meteo / UK Met Office,ACTIVE,True,5,1.0,1.0,0,200,377,
