lead_day,window_start_wib,window_end_wib,rain_mean_mm,rain_p10_mm,rain_p90_mm,model_count,model_list,valid_date,initial_discharge_proxy_m3s,discharge_forecast_m3s,discharge_scenario_low_m3s,discharge_scenario_high_m3s,glofas_reference_m3s,glofas_reference_p25_m3s,glofas_reference_p75_m3s,hindcast_rmse_m3s,status
1,2026-08-10T10:00:00+07:00,2026-08-11T10:00:00+07:00,1.5626005600575574,0.09999999999999995,3.570421500418963,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-10,31.06,30.004397953035028,23.618904124035716,36.47233156182078,25.06,25.06,25.06,6.164342029759036,provisional_proxy_calibrated
2,2026-08-11T10:00:00+07:00,2026-08-12T10:00:00+07:00,10.443711413294478,1.7499999999999996,25.00910966887359,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-11,31.06,30.350979053538758,19.055002775682134,42.61258796482038,21.52,21.49,21.54,9.772723653502172,provisional_proxy_calibrated
3,2026-08-12T10:00:00+07:00,2026-08-13T10:00:00+07:00,31.43303195289185,9.526595442406089,70.85,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-12,31.06,33.851764066944924,17.38562261692529,53.87694612259458,18.26,17.97,18.5,11.716135438083638,provisional_proxy_calibrated
