tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
09-09-2026,00:00,16.0,Berawan,96.0,2.6
09-09-2026,01:00,16.0,Berawan,96.0,2.6
09-09-2026,02:00,16.0,Berawan,98.0,2.8
09-09-2026,03:00,16.0,Berawan,98.0,2.8
09-09-2026,04:00,16.0,Berawan,98.0,2.8
09-09-2026,05:00,17.0,Cerah Berawan,90.0,2.3
09-09-2026,06:00,17.0,Cerah Berawan,90.0,2.3
09-09-2026,07:00,17.0,Cerah Berawan,90.0,2.3
09-09-2026,08:00,22.0,Cerah,71.0,2.3
09-09-2026,09:00,22.0,Cerah,71.0,2.3
09-09-2026,10:00,22.0,Cerah,71.0,2.3
09-09-2026,11:00,24.0,Berawan,64.0,6.0
09-09-2026,12:00,24.0,Berawan,64.0,6.0
09-09-2026,13:00,24.0,Berawan,64.0,6.0
09-09-2026,14:00,19.0,Hujan Ringan,95.0,6.0
09-09-2026,15:00,19.0,Hujan Ringan,95.0,6.0
09-09-2026,16:00,19.0,Hujan Ringan,95.0,6.0
09-09-2026,17:00,18.0,Hujan Ringan,98.0,4.7
09-09-2026,18:00,18.0,Hujan Ringan,98.0,4.7
09-09-2026,19:00,18.0,Hujan Ringan,98.0,4.7
09-09-2026,20:00,18.0,Cerah Berawan,95.0,4.7
09-09-2026,21:00,18.0,Cerah Berawan,95.0,4.7
09-09-2026,22:00,18.0,Cerah Berawan,95.0,4.7
09-09-2026,23:00,18.0,Cerah Berawan,95.0,4.7
