lead_day,window_start_wib,window_end_wib,rain_mean_mm,rain_p10_mm,rain_p90_mm,model_count,model_list,spatial_point_count,valid_date,initial_discharge_proxy_m3s,discharge_forecast_m3s,discharge_scenario_low_m3s,discharge_scenario_high_m3s,glofas_reference_m3s,glofas_reference_p25_m3s,glofas_reference_p75_m3s,hindcast_rmse_m3s,status,irrigation_reference_m3s,ecological_release_reference_m3s,indicative_plant_available_m3s,design_discharge_m3s,engineering_scenario_status
1,2026-08-24T07:00:00+07:00,2026-08-25T07:00:00+07:00,0.0,0.0,0.0,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",3,2026-08-24,0.03,0.6515614566244201,0.0,7.3149636309347414,0.02,0.02,0.02,6.663402174310321,provisional_proxy_calibrated,3.0,0.6,0.0,22.0,indicative_without_upstream_release_schedule
2,2026-08-25T07:00:00+07:00,2026-08-26T07:00:00+07:00,0.08750000000000002,0.0,0.26250000000000007,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",4,2026-08-25,0.03,1.2614978732901831,0.0,12.180408448689539,0.02,0.02,0.02,10.901861367471971,provisional_proxy_calibrated,3.0,0.6,0.0,22.0,indicative_without_upstream_release_schedule
3,2026-08-26T07:00:00+07:00,2026-08-27T07:00:00+07:00,0.9125,0.0,2.1375,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",4,2026-08-26,0.03,1.9320363414189536,0.0,15.649494831173179,0.01,0.01,0.01,13.581617523844354,provisional_proxy_calibrated,3.0,0.6,0.0,22.0,indicative_without_upstream_release_schedule
