tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
18-09-2026,00:00,24.0,Udara Kabur,83.0,5.5
18-09-2026,01:00,24.0,Udara Kabur,83.0,5.5
18-09-2026,02:00,23.0,Cerah,85.0,4.9
18-09-2026,03:00,23.0,Cerah,85.0,4.9
18-09-2026,04:00,23.0,Cerah,85.0,4.9
18-09-2026,05:00,24.0,Cerah Berawan,78.0,4.2
18-09-2026,06:00,24.0,Cerah Berawan,78.0,4.2
18-09-2026,07:00,24.0,Cerah Berawan,78.0,4.2
18-09-2026,08:00,28.0,Cerah,60.0,8.9
18-09-2026,09:00,28.0,Cerah,60.0,8.9
18-09-2026,10:00,28.0,Cerah,60.0,8.9
18-09-2026,11:00,35.0,Hujan Ringan,46.0,8.9
18-09-2026,12:00,35.0,Hujan Ringan,46.0,8.9
18-09-2026,13:00,35.0,Hujan Ringan,46.0,8.9
18-09-2026,14:00,32.0,Cerah,46.0,8.3
18-09-2026,15:00,32.0,Cerah,46.0,8.3
18-09-2026,16:00,32.0,Cerah,46.0,8.3
18-09-2026,17:00,27.0,Cerah Berawan,67.0,5.3
18-09-2026,18:00,27.0,Cerah Berawan,67.0,5.3
18-09-2026,19:00,27.0,Cerah Berawan,67.0,5.3
18-09-2026,20:00,25.0,Cerah,79.0,2.6
18-09-2026,21:00,25.0,Cerah,79.0,2.6
18-09-2026,22:00,25.0,Cerah,79.0,2.6
18-09-2026,23:00,25.0,Cerah,79.0,2.6
