source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,DEGRADED,False,0,1.0,0.9568,0,,62,BMKG tidak mengembalikan kandidat untuk target date
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,24,1.0,1.0,0,200,630,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,24,1.0,1.0,0,200,654,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,24,1.0,1.0,0,200,612,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,24,1.0,1.0,0,200,645,
METEOFRANCE,Open-Meteo / Meteo-France,ACTIVE,True,24,1.0,1.0,0,200,686,
UKMO,Open-Meteo / UK Met Office,ACTIVE,True,24,1.0,1.0,0,200,652,
