tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
17-07-2026,00:00,17.0,Berawan,99.0,0.6
17-07-2026,01:00,17.0,Berawan,99.0,0.6
17-07-2026,02:00,16.0,Berawan,99.0,1.1
17-07-2026,03:00,16.0,Berawan,99.0,1.1
17-07-2026,04:00,16.0,Berawan,99.0,1.1
17-07-2026,05:00,17.0,Cerah Berawan,95.0,1.5
17-07-2026,06:00,17.0,Cerah Berawan,95.0,1.5
17-07-2026,07:00,17.0,Cerah Berawan,95.0,1.5
17-07-2026,08:00,22.0,Berawan,70.0,2.0
17-07-2026,09:00,22.0,Berawan,70.0,2.0
17-07-2026,10:00,22.0,Berawan,70.0,2.0
17-07-2026,11:00,23.0,Berawan,69.0,4.9
17-07-2026,12:00,23.0,Berawan,69.0,4.9
17-07-2026,13:00,23.0,Berawan,69.0,4.9
17-07-2026,14:00,21.0,Berawan,79.0,3.2
17-07-2026,15:00,21.0,Berawan,79.0,3.2
17-07-2026,16:00,21.0,Berawan,79.0,3.2
17-07-2026,17:00,18.0,Berawan,95.0,1.1
17-07-2026,18:00,18.0,Berawan,95.0,1.1
17-07-2026,19:00,18.0,Berawan,95.0,1.1
17-07-2026,20:00,18.0,Berawan,95.0,1.7
17-07-2026,21:00,18.0,Berawan,95.0,1.7
17-07-2026,22:00,18.0,Berawan,95.0,1.7
17-07-2026,23:00,18.0,Berawan,95.0,1.7
