source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,DEGRADED,False,0,1.0,0.9692,0,,100,BMKG tidak mengembalikan kandidat untuk target date
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,24,1.0,1.0,0,200,488,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,24,1.0,1.0,0,200,517,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,24,1.0,1.0,0,200,467,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,24,1.0,1.0,0,200,506,
METEOFRANCE,Open-Meteo / Meteo-France,ACTIVE,True,24,1.0,1.0,0,200,511,
UKMO,Open-Meteo / UK Met Office,ACTIVE,True,24,1.0,1.0,0,200,488,
