location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
gpm1,2026-07-09,12:00,Berawan,88.2,Tinggi,8,8,1.0,7.7595,20.81,0.66,50.65,6.47,0.0,0.0,20.81,0.66,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm1,2026-07-09,15:00,Berawan,85.3,Tinggi,8,8,1.0,7.7595,20.21,0.52,56.07,2.37,0.02,0.04,20.21,0.52,0.0,0.0,0.0,39.0,46.8,14.2,0.0,0.0
gpm1,2026-07-09,18:00,Hujan Ringan,86.0,Tinggi,8,8,1.0,7.7595,16.94,1.28,79.81,10.16,0.07,0.07,16.94,1.28,0.0,0.0,0.0,24.9,21.7,53.5,0.0,0.0
gpm2,2026-07-07,06:00,Berawan,76.6,Sedang,7,8,0.875,6.78,16.26,1.61,97.95,1.34,0.0,0.0,16.26,1.61,0.0,0.0,26.5,30.2,43.2,0.0,0.0,0.0
gpm2,2026-07-07,09:00,Berawan,80.6,Tinggi,7,8,0.875,6.78,21.3,1.01,83.12,2.79,0.02,0.04,21.3,1.01,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
gpm2,2026-07-07,12:00,Hujan Ringan,81.3,Tinggi,7,8,0.875,6.78,22.71,0.47,74.75,3.83,0.25,0.23,22.71,0.47,0.0,0.0,0.0,0.0,38.8,61.2,0.0,0.0
gpm2,2026-07-07,15:00,Hujan Ringan,85.8,Tinggi,8,8,1.0,7.78,21.64,0.96,89.16,7.39,1.34,0.47,21.64,0.96,0.0,0.0,0.0,0.0,8.1,52.1,14.1,25.7
gpm2,2026-07-07,18:00,Hujan Ringan,82.9,Tinggi,8,8,1.0,7.78,19.5,0.36,94.82,2.06,2.27,1.57,19.5,0.36,0.0,0.0,0.0,0.0,8.1,41.1,25.1,25.7
gpm2,2026-07-08,06:00,Berawan,88.3,Tinggi,8,8,1.0,7.7485,15.13,0.94,92.2,7.11,0.16,0.34,15.13,0.94,0.0,0.0,0.0,11.0,61.9,27.1,0.0,0.0
gpm2,2026-07-08,09:00,Berawan,87.9,Tinggi,8,8,1.0,7.7485,19.52,1.9,80.47,12.1,0.11,0.28,19.52,1.9,0.0,0.0,0.0,23.5,63.6,12.9,0.0,0.0
gpm2,2026-07-08,12:00,Berawan,94.2,Tinggi,8,8,1.0,7.7485,22.97,2.34,66.37,12.26,0.0,0.0,22.97,2.34,0.0,0.0,11.0,0.0,89.0,0.0,0.0,0.0
gpm2,2026-07-08,15:00,Berawan,79.9,Sedang,8,8,1.0,7.7485,22.64,0.94,74.75,9.31,1.49,1.77,22.64,0.94,0.0,0.0,0.0,0.0,33.3,26.5,14.2,26.1
gpm2,2026-07-08,18:00,Berawan,92.2,Tinggi,8,8,1.0,7.7485,20.29,1.15,88.05,2.07,0.11,0.29,20.29,1.15,0.0,0.0,0.0,12.5,76.5,11.0,0.0,0.0
gpm2,2026-07-09,06:00,Berawan,92.4,Tinggi,8,8,1.0,7.7595,14.18,0.48,77.61,8.52,0.0,0.0,14.18,0.48,0.0,0.0,0.0,23.2,76.8,0.0,0.0,0.0
gpm2,2026-07-09,09:00,Berawan,95.4,Tinggi,8,8,1.0,7.7595,20.91,0.73,61.62,3.01,0.0,0.0,20.91,0.73,0.0,0.0,0.0,12.6,87.4,0.0,0.0,0.0
gpm2,2026-07-09,12:00,Berawan,88.3,Tinggi,8,8,1.0,7.7595,24.9,0.67,51.54,5.15,0.0,0.0,24.9,0.67,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm2,2026-07-09,15:00,Berawan,84.5,Tinggi,8,8,1.0,7.7595,23.93,0.97,63.32,8.85,0.09,0.13,23.93,0.97,0.0,0.0,0.0,15.5,46.8,37.8,0.0,0.0
gpm2,2026-07-09,18:00,Hujan Ringan,90.1,Tinggi,8,8,1.0,7.7595,20.39,0.24,86.41,4.3,0.11,0.1,20.39,0.24,0.0,0.0,0.0,12.2,21.7,66.1,0.0,0.0
gpm3,2026-07-07,06:00,Berawan,76.6,Sedang,7,8,0.875,6.78,15.13,1.64,97.95,1.34,0.0,0.0,15.13,1.64,0.0,0.0,26.5,30.2,43.2,0.0,0.0,0.0
gpm3,2026-07-07,09:00,Berawan,80.6,Tinggi,7,8,0.875,6.78,20.18,1.01,83.12,2.79,0.02,0.04,20.18,1.01,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
gpm3,2026-07-07,12:00,Hujan Ringan,81.3,Tinggi,7,8,0.875,6.78,21.57,0.44,74.75,3.83,0.25,0.23,21.57,0.44,0.0,0.0,0.0,0.0,38.8,61.2,0.0,0.0
gpm3,2026-07-07,15:00,Hujan Ringan,85.7,Tinggi,8,8,1.0,7.78,20.45,1.06,89.16,7.39,1.34,0.47,20.45,1.06,0.0,0.0,0.0,0.0,8.1,52.1,14.1,25.7
gpm3,2026-07-07,18:00,Hujan Ringan,82.9,Tinggi,8,8,1.0,7.78,18.27,0.41,94.82,2.06,2.27,1.57,18.27,0.41,0.0,0.0,0.0,0.0,8.1,41.1,25.1,25.7
