period_start_wib,source_id,rain_3h_mm,hours_available,period_end_wib,period_complete
2026-09-12 09:00:00+07:00,CMA,0.9295548344367964,3,2026-09-12 12:00:00+07:00,True
2026-09-12 09:00:00+07:00,ECMWF,3.3,3,2026-09-12 12:00:00+07:00,True
2026-09-12 09:00:00+07:00,GFS,0.49905016277121095,3,2026-09-12 12:00:00+07:00,True
2026-09-12 09:00:00+07:00,ICON,0.07565069063382808,3,2026-09-12 12:00:00+07:00,True
2026-09-12 09:00:00+07:00,METEOFRANCE,0.3,3,2026-09-12 12:00:00+07:00,True
2026-09-12 09:00:00+07:00,UKMO,0.0,3,2026-09-12 12:00:00+07:00,True
2026-09-12 12:00:00+07:00,CMA,1.1756506906338275,3,2026-09-12 15:00:00+07:00,True
2026-09-12 12:00:00+07:00,ECMWF,9.1,3,2026-09-12 15:00:00+07:00,True
2026-09-12 12:00:00+07:00,GFS,0.9085485350591007,3,2026-09-12 15:00:00+07:00,True
2026-09-12 12:00:00+07:00,ICON,7.060787984860543,3,2026-09-12 15:00:00+07:00,True
2026-09-12 12:00:00+07:00,METEOFRANCE,11.099999999999998,3,2026-09-12 15:00:00+07:00,True
2026-09-12 12:00:00+07:00,UKMO,6.6,3,2026-09-12 15:00:00+07:00,True
2026-09-12 15:00:00+07:00,CMA,1.429554834436796,3,2026-09-12 18:00:00+07:00,True
2026-09-12 15:00:00+07:00,ECMWF,6.699999999999999,3,2026-09-12 18:00:00+07:00,True
2026-09-12 15:00:00+07:00,GFS,1.4104482095166788,3,2026-09-12 18:00:00+07:00,True
2026-09-12 15:00:00+07:00,ICON,6.515616575211872,3,2026-09-12 18:00:00+07:00,True
2026-09-12 15:00:00+07:00,METEOFRANCE,12.799999999999999,3,2026-09-12 18:00:00+07:00,True
2026-09-12 15:00:00+07:00,UKMO,10.299999999999997,3,2026-09-12 18:00:00+07:00,True
2026-09-12 18:00:00+07:00,CMA,1.0269520719014842,3,2026-09-12 21:00:00+07:00,True
2026-09-12 18:00:00+07:00,ECMWF,1.8999999999999997,3,2026-09-12 21:00:00+07:00,True
2026-09-12 18:00:00+07:00,GFS,3.907598697830311,3,2026-09-12 21:00:00+07:00,True
2026-09-12 18:00:00+07:00,ICON,0.8565069063382806,3,2026-09-12 21:00:00+07:00,True
2026-09-12 18:00:00+07:00,METEOFRANCE,7.6999999999999975,3,2026-09-12 21:00:00+07:00,True
2026-09-12 18:00:00+07:00,UKMO,0.09999999999999999,3,2026-09-12 21:00:00+07:00,True
2026-09-12 21:00:00+07:00,CMA,0.551301381267656,3,2026-09-13 00:00:00+07:00,True
2026-09-12 21:00:00+07:00,ECMWF,0.19999999999999998,3,2026-09-13 00:00:00+07:00,True
2026-09-12 21:00:00+07:00,GFS,1.4142475584318346,3,2026-09-13 00:00:00+07:00,True
2026-09-12 21:00:00+07:00,ICON,0.0,3,2026-09-13 00:00:00+07:00,True
2026-09-12 21:00:00+07:00,METEOFRANCE,2.8999999999999995,3,2026-09-13 00:00:00+07:00,True
2026-09-12 21:00:00+07:00,UKMO,2.1999999999999997,3,2026-09-13 00:00:00+07:00,True
2026-09-13 00:00:00+07:00,CMA,0.0,3,2026-09-13 03:00:00+07:00,True
2026-09-13 00:00:00+07:00,ECMWF,0.0,3,2026-09-13 03:00:00+07:00,True
2026-09-13 00:00:00+07:00,GFS,0.6104482095166788,3,2026-09-13 03:00:00+07:00,True
2026-09-13 00:00:00+07:00,ICON,0.0,3,2026-09-13 03:00:00+07:00,True
2026-09-13 00:00:00+07:00,METEOFRANCE,0.6,3,2026-09-13 03:00:00+07:00,True
2026-09-13 00:00:00+07:00,UKMO,0.9999999999999999,3,2026-09-13 03:00:00+07:00,True
2026-09-13 03:00:00+07:00,CMA,0.0,3,2026-09-13 06:00:00+07:00,True
2026-09-13 03:00:00+07:00,ECMWF,0.0,3,2026-09-13 06:00:00+07:00,True
2026-09-13 03:00:00+07:00,GFS,0.0037993489151559624,3,2026-09-13 06:00:00+07:00,True
2026-09-13 03:00:00+07:00,ICON,0.0,3,2026-09-13 06:00:00+07:00,True
2026-09-13 03:00:00+07:00,METEOFRANCE,0.0,3,2026-09-13 06:00:00+07:00,True
2026-09-13 03:00:00+07:00,UKMO,0.0,3,2026-09-13 06:00:00+07:00,True
2026-09-13 06:00:00+07:00,CMA,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 06:00:00+07:00,ECMWF,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 06:00:00+07:00,GFS,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 06:00:00+07:00,ICON,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 06:00:00+07:00,METEOFRANCE,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 06:00:00+07:00,UKMO,0.0,3,2026-09-13 09:00:00+07:00,True
2026-09-13 09:00:00+07:00,CMA,0.8243493093661719,3,2026-09-13 12:00:00+07:00,True
2026-09-13 09:00:00+07:00,ECMWF,1.6999999999999997,3,2026-09-13 12:00:00+07:00,True
2026-09-13 09:00:00+07:00,GFS,0.0,3,2026-09-13 12:00:00+07:00,True
2026-09-13 09:00:00+07:00,ICON,0.0,3,2026-09-13 12:00:00+07:00,True
2026-09-13 09:00:00+07:00,METEOFRANCE,0.5999999999999999,3,2026-09-13 12:00:00+07:00,True
2026-09-13 09:00:00+07:00,UKMO,7.499999999999998,3,2026-09-13 12:00:00+07:00,True
2026-09-13 12:00:00+07:00,CMA,3.0973972374646874,3,2026-09-13 15:00:00+07:00,True
2026-09-13 12:00:00+07:00,ECMWF,5.3999999999999995,3,2026-09-13 15:00:00+07:00,True
2026-09-13 12:00:00+07:00,GFS,2.20949837228789,3,2026-09-13 15:00:00+07:00,True
2026-09-13 12:00:00+07:00,ICON,10.61561657521187,3,2026-09-13 15:00:00+07:00,True
2026-09-13 12:00:00+07:00,METEOFRANCE,6.399999999999999,3,2026-09-13 15:00:00+07:00,True
2026-09-13 12:00:00+07:00,UKMO,59.69999999999999,3,2026-09-13 15:00:00+07:00,True
2026-09-13 15:00:00+07:00,CMA,4.47825345316914,3,2026-09-13 18:00:00+07:00,True
2026-09-13 15:00:00+07:00,ECMWF,5.8,3,2026-09-13 18:00:00+07:00,True
2026-09-13 15:00:00+07:00,GFS,3.9132977212030453,3,2026-09-13 18:00:00+07:00,True
2026-09-13 15:00:00+07:00,ICON,6.039965884578045,3,2026-09-13 18:00:00+07:00,True
2026-09-13 15:00:00+07:00,METEOFRANCE,15.799999999999997,3,2026-09-13 18:00:00+07:00,True
2026-09-13 15:00:00+07:00,UKMO,110.89999999999999,3,2026-09-13 18:00:00+07:00,True
2026-09-13 18:00:00+07:00,CMA,4.218219337747186,3,2026-09-13 21:00:00+07:00,True
2026-09-13 18:00:00+07:00,ECMWF,4.199999999999999,3,2026-09-13 21:00:00+07:00,True
2026-09-13 18:00:00+07:00,GFS,3.3075986978303114,3,2026-09-13 21:00:00+07:00,True
2026-09-13 18:00:00+07:00,ICON,1.8295548344367965,3,2026-09-13 21:00:00+07:00,True
2026-09-13 18:00:00+07:00,METEOFRANCE,18.199999999999996,3,2026-09-13 21:00:00+07:00,True
2026-09-13 18:00:00+07:00,UKMO,43.99999999999999,3,2026-09-13 21:00:00+07:00,True
2026-09-13 21:00:00+07:00,CMA,2.818219337747186,3,2026-09-14 00:00:00+07:00,True
2026-09-13 21:00:00+07:00,ECMWF,1.8999999999999995,3,2026-09-14 00:00:00+07:00,True
2026-09-13 21:00:00+07:00,GFS,5.6759869783031185,3,2026-09-14 00:00:00+07:00,True
2026-09-13 21:00:00+07:00,ICON,0.0,3,2026-09-14 00:00:00+07:00,True
2026-09-13 21:00:00+07:00,METEOFRANCE,20.199999999999996,3,2026-09-14 00:00:00+07:00,True
2026-09-13 21:00:00+07:00,UKMO,2.3,3,2026-09-14 00:00:00+07:00,True
2026-09-14 00:00:00+07:00,CMA,1.4104110501412492,3,2026-09-14 03:00:00+07:00,True
2026-09-14 00:00:00+07:00,ECMWF,1.9999999999999996,3,2026-09-14 03:00:00+07:00,True
2026-09-14 00:00:00+07:00,GFS,2.4132977212030453,3,2026-09-14 03:00:00+07:00,True
2026-09-14 00:00:00+07:00,ICON,0.0,3,2026-09-14 03:00:00+07:00,True
2026-09-14 00:00:00+07:00,METEOFRANCE,11.999999999999998,3,2026-09-14 03:00:00+07:00,True
2026-09-14 00:00:00+07:00,UKMO,0.5999999999999999,3,2026-09-14 03:00:00+07:00,True
2026-09-14 03:00:00+07:00,CMA,0.0,3,2026-09-14 06:00:00+07:00,True
2026-09-14 03:00:00+07:00,ECMWF,1.1999999999999997,3,2026-09-14 06:00:00+07:00,True
2026-09-14 03:00:00+07:00,GFS,0.10379934891515596,3,2026-09-14 06:00:00+07:00,True
2026-09-14 03:00:00+07:00,ICON,0.0,3,2026-09-14 06:00:00+07:00,True
2026-09-14 03:00:00+07:00,METEOFRANCE,2.3999999999999995,3,2026-09-14 06:00:00+07:00,True
2026-09-14 03:00:00+07:00,UKMO,0.09999999999999999,3,2026-09-14 06:00:00+07:00,True
2026-09-14 06:00:00+07:00,CMA,0.0,1,2026-09-14 09:00:00+07:00,False
2026-09-14 06:00:00+07:00,ECMWF,0.0,1,2026-09-14 09:00:00+07:00,False
2026-09-14 06:00:00+07:00,GFS,0.0,1,2026-09-14 09:00:00+07:00,False
2026-09-14 06:00:00+07:00,ICON,0.0,1,2026-09-14 09:00:00+07:00,False
2026-09-14 06:00:00+07:00,METEOFRANCE,0.0,1,2026-09-14 09:00:00+07:00,False
2026-09-14 06:00:00+07:00,UKMO,0.09999999999999999,1,2026-09-14 09:00:00+07:00,False
