scope,lead_day,forecast_metric,n_samples,mae_mm,rmse_mm,bias_mm,mean_observed_mm,mean_forecast_mm,event_accuracy_ge_1mm,pod_ge_1mm,far_ge_1mm,csi_ge_1mm,hit_ge_1mm,miss_ge_1mm,false_alarm_ge_1mm,correct_negative_ge_1mm,event_accuracy_ge_10mm,pod_ge_10mm,far_ge_10mm,csi_ge_10mm,hit_ge_10mm,miss_ge_10mm,false_alarm_ge_10mm,correct_negative_ge_10mm
overall,,rain_forecast_mean,1430,6.30886013986014,10.973192535145113,5.599839160839161,4.298881118881119,9.898720279720278,0.8048951048951049,0.8974358974358975,0.17888563049853373,0.7506702412868632,840,96,183,311,0.7643356643356644,0.9420289855072463,0.625,0.36654135338345867,195,12,325,898
overall,,rain_forecast_p90,1430,15.395909090909091,28.130301037023518,15.131923076923078,4.298881118881119,19.430804195804196,0.7958041958041958,0.9636752136752137,0.22241379310344828,0.7554438860971524,902,34,258,236,0.6629370629370629,1.0,0.6995645863570392,0.30043541364296084,207,0,482,741
overall,,rain_forecast_max,1430,22.6820979020979,45.87175220492073,22.50111888111888,4.298881118881119,26.8,0.779020979020979,0.9732905982905983,0.2420965058236273,0.7424612876935616,911,25,291,203,0.6265734265734266,1.0,0.7206477732793523,0.2793522267206478,207,0,534,689
lead_day,1.0,rain_forecast_mean,715,6.1297435897435895,10.455109835784686,5.457435897435897,4.26965034965035,9.727086247086246,0.8181818181818182,0.8948497854077253,0.16265060240963855,0.7623400365630713,417,49,81,168,0.7692307692307693,0.9514563106796117,0.6201550387596899,0.3726235741444867,98,5,160,452
lead_day,1.0,rain_forecast_p90,715,14.498909090909093,26.289097620616303,14.261986013986014,4.26965034965035,18.531636363636363,0.813986013986014,0.9699570815450643,0.2084063047285464,0.7726495726495727,452,14,119,130,0.6811188811188811,1.0,0.6888217522658611,0.311178247734139,103,0,228,384
lead_day,1.0,rain_forecast_max,715,21.39034965034965,43.29640612356623,21.226993006993006,4.26965034965035,25.496643356643354,0.7958041958041958,0.9828326180257511,0.23154362416107382,0.7582781456953642,458,8,138,111,0.6447552447552447,1.0,0.711484593837535,0.28851540616246496,103,0,254,358
lead_day,2.0,rain_forecast_mean,703,6.279307728781413,11.209005112235985,5.575988620199147,4.296017069701281,9.872005689900428,0.7923186344238976,0.9039301310043668,0.19767441860465115,0.7392857142857143,414,44,102,143,0.7652916073968705,0.9320388349514563,0.6220472440944882,0.367816091954023,96,7,158,442
lead_day,2.0,rain_forecast_p90,703,15.741792318634426,29.10452385732488,15.490583214793743,4.296017069701281,19.786600284495023,0.7738264580369844,0.9563318777292577,0.24090121317157712,0.7336683417085427,438,20,139,106,0.6486486486486487,1.0,0.7057142857142857,0.29428571428571426,103,0,247,353
lead_day,2.0,rain_forecast_max,703,22.935704125177807,46.77303207149115,22.774679943100995,4.296017069701281,27.070697012802277,0.7581792318634424,0.962882096069869,0.25757575757575757,0.7217675941080196,441,17,153,92,0.6130867709815079,1.0,0.7253333333333334,0.27466666666666667,103,0,272,328
lead_day,3.0,rain_forecast_mean,12,18.712500000000002,21.80465833256738,15.481944444444446,6.208333333333332,21.69027777777778,0.75,0.75,0.0,0.75,9,3,0,0,0.4166666666666667,1.0,0.875,0.125,1,0,7,4
lead_day,3.0,rain_forecast_p90,12,48.57916666666667,59.117004392419396,45.95416666666667,6.208333333333332,52.1625,1.0,1.0,0.0,1.0,12,0,0,0,0.4166666666666667,1.0,0.875,0.125,1,0,7,4
lead_day,3.0,rain_forecast_max,12,84.79166666666667,104.38019048970291,82.3916666666667,6.208333333333332,88.59999999999998,1.0,1.0,0.0,1.0,12,0,0,0,0.3333333333333333,1.0,0.8888888888888888,0.1111111111111111,1,0,8,3
