location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
plta_redelong,PLTA Redelong,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,06:00,9,8.0725,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,82.7,Tinggi,18.66,+/-1.36,88.09,+/-9.01,0.01,+/-0.03,18.66,+/-1.36,0.0,37.2,50.4,12.4,0.0,0.0,1.36,9.01,0.03,1.36,9,1.0,33.33,180.0
plta_redelong,PLTA Redelong,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.2,Tinggi,21.59,+/-1.81,81.64,+/-11.38,0.0,+/-0.0,21.59,+/-1.81,9.3,12.0,78.6,0.0,0.0,0.0,1.81,11.38,0.0,1.81,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.9,Tinggi,25.05,+/-2.76,71.8,+/-7.73,0.03,+/-0.04,25.42,+/-3.33,0.0,21.4,54.5,24.1,0.0,0.0,2.76,7.73,0.04,3.33,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.5,Tinggi,23.66,+/-2.15,81.41,+/-5.44,0.31,+/-0.29,23.7,+/-2.21,0.0,0.0,32.6,43.8,12.0,11.5,2.15,5.44,0.29,2.21,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.5,Tinggi,21.41,+/-1.85,89.7,+/-4.92,0.23,+/-0.32,21.41,+/-1.85,0.0,0.0,55.1,34.5,10.4,0.0,1.85,4.92,0.32,1.85,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.1,Tinggi,16.45,+/-0.82,83.79,+/-9.25,0.0,+/-0.0,16.45,+/-0.82,0.0,55.9,44.1,0.0,0.0,0.0,0.82,9.25,0.0,0.82,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,87.0,Tinggi,22.87,+/-0.21,67.46,+/-10.36,0.0,+/-0.0,22.87,+/-0.21,0.0,45.5,54.5,0.0,0.0,0.0,0.21,10.36,0.0,0.21,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,89.6,Tinggi,26.62,+/-1.82,52.81,+/-8.78,0.0,+/-0.0,27.15,+/-2.36,0.0,32.3,67.7,0.0,0.0,0.0,1.82,8.78,0.0,2.36,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.9,Tinggi,25.56,+/-1.32,64.71,+/-11.56,0.06,+/-0.1,26.03,+/-2.05,0.0,25.7,29.4,44.9,0.0,0.0,1.32,11.56,0.1,2.05,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,81.2,Tinggi,21.91,+/-2.0,86.74,+/-5.59,0.02,+/-0.04,21.91,+/-2.0,0.0,25.7,31.5,33.4,9.3,0.0,2.0,5.59,0.04,2.0,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,84.2,Tinggi,17.06,+/-0.81,87.28,+/-6.48,0.0,+/-0.0,17.06,+/-0.81,14.8,42.2,43.0,0.0,0.0,0.0,0.81,6.48,0.0,0.81,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.9,Tinggi,22.91,+/-0.74,69.66,+/-3.52,0.0,+/-0.0,22.91,+/-0.74,25.2,44.9,29.9,0.0,0.0,0.0,0.74,3.52,0.0,0.74,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.1,Tinggi,26.82,+/-1.65,55.73,+/-8.04,0.06,+/-0.13,27.45,+/-1.07,14.8,19.7,41.4,24.1,0.0,0.0,1.65,8.04,0.13,1.07,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.8,Tinggi,25.48,+/-1.66,68.31,+/-6.57,0.18,+/-0.2,25.04,+/-1.31,0.0,14.8,29.4,55.9,0.0,0.0,1.66,6.57,0.2,1.31,9,1.0,0.0,0.0
plta_redelong,PLTA Redelong,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.748139,96.977344,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for Forecast Redelong,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.8,Tinggi,21.97,+/-1.77,89.87,+/-3.03,0.32,+/-0.4,21.97,+/-1.77,14.8,11.0,18.4,55.9,0.0,0.0,1.77,3.03,0.4,1.77,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,8.0725,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.7,Tinggi,12.79,+/-2.57,94.79,+/-2.53,0.03,+/-0.07,12.79,+/-2.57,0.0,25.4,62.8,11.8,0.0,0.0,2.57,2.53,0.07,2.57,9,1.0,33.33,180.0
gpm1,GPM1,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.6,Tinggi,16.28,+/-1.67,84.97,+/-6.18,0.0,+/-0.0,16.28,+/-1.67,9.3,12.0,78.6,0.0,0.0,0.0,1.67,6.18,0.0,1.67,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.5,Tinggi,19.49,+/-2.67,68.14,+/-14.01,0.01,+/-0.03,19.49,+/-2.67,9.3,23.0,54.5,13.1,0.0,0.0,2.67,14.01,0.03,2.67,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.3,Tinggi,18.24,+/-2.06,78.63,+/-8.04,0.43,+/-0.36,18.24,+/-2.06,0.0,0.0,32.6,43.8,12.0,11.5,2.06,8.04,0.36,2.06,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.5,Tinggi,16.19,+/-1.95,88.67,+/-5.33,0.11,+/-0.19,16.19,+/-1.95,0.0,0.0,55.1,44.9,0.0,0.0,1.95,5.33,0.19,1.95,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,86.6,Tinggi,11.75,+/-2.22,84.01,+/-7.77,0.0,+/-0.0,11.75,+/-2.22,0.0,55.9,44.1,0.0,0.0,0.0,2.22,7.77,0.0,2.22,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.9,Tinggi,16.71,+/-1.0,65.57,+/-7.13,0.0,+/-0.0,16.71,+/-1.0,0.0,45.5,54.5,0.0,0.0,0.0,1.0,7.13,0.0,1.0,9,1.0,0.0,0.0
