date,rain_mm,temperature_mean_c,temperature_max_c,temperature_min_c,wind_speed_2m_mps,relative_humidity_2m_pct,source,observation_type
1981-02-28,0.54,23.28,27.42,20.09,1.58,88.13,NASA POWER Daily,gridded_meteorological_proxy
1981-03-01,1.32,23.06,24.89,21.73,1.23,92.37,NASA POWER Daily,gridded_meteorological_proxy
1981-03-02,1.79,22.87,25.07,21.39,0.71,92.47,NASA POWER Daily,gridded_meteorological_proxy
1981-03-03,23.95,23.5,27.57,20.55,0.72,89.53,NASA POWER Daily,gridded_meteorological_proxy
1981-03-04,15.67,22.49,24.33,20.96,0.6,92.69,NASA POWER Daily,gridded_meteorological_proxy
1981-03-05,55.5,23.89,28.29,20.51,0.59,85.79,NASA POWER Daily,gridded_meteorological_proxy
1981-03-06,47.13,24.21,28.27,21.41,0.6,86.54,NASA POWER Daily,gridded_meteorological_proxy
1981-03-07,1.38,23.88,27.32,21.87,1.08,88.57,NASA POWER Daily,gridded_meteorological_proxy
1981-03-08,12.89,24.09,27.96,21.3,1.2,88.03,NASA POWER Daily,gridded_meteorological_proxy
1981-03-09,3.63,24.13,27.94,21.26,1.15,87.55,NASA POWER Daily,gridded_meteorological_proxy
1981-03-10,1.92,23.72,26.68,21.52,1.24,90.0,NASA POWER Daily,gridded_meteorological_proxy
1981-03-11,8.66,23.12,24.77,21.85,1.02,91.61,NASA POWER Daily,gridded_meteorological_proxy
1981-03-12,10.37,23.74,27.01,21.19,0.76,87.33,NASA POWER Daily,gridded_meteorological_proxy
1981-03-13,3.73,23.65,26.96,21.43,1.17,88.58,NASA POWER Daily,gridded_meteorological_proxy
1981-03-14,0.54,23.8,27.97,20.62,1.63,86.97,NASA POWER Daily,gridded_meteorological_proxy
1981-03-15,26.49,24.04,27.94,21.03,1.33,88.6,NASA POWER Daily,gridded_meteorological_proxy
1981-03-16,29.67,24.2,27.93,21.37,0.86,88.84,NASA POWER Daily,gridded_meteorological_proxy
1981-03-17,7.11,24.24,27.61,21.68,1.16,89.95,NASA POWER Daily,gridded_meteorological_proxy
1981-03-18,23.69,24.38,27.96,22.03,1.38,88.95,NASA POWER Daily,gridded_meteorological_proxy
1981-03-19,7.07,24.03,28.0,21.35,0.75,85.23,NASA POWER Daily,gridded_meteorological_proxy
1981-03-20,0.93,23.81,27.86,21.04,1.14,86.7,NASA POWER Daily,gridded_meteorological_proxy
1981-03-21,9.73,23.39,26.95,21.2,1.73,89.05,NASA POWER Daily,gridded_meteorological_proxy
1981-03-22,1.92,24.17,28.15,21.09,1.37,88.03,NASA POWER Daily,gridded_meteorological_proxy
1981-03-23,2.2,23.76,27.94,20.7,1.47,86.24,NASA POWER Daily,gridded_meteorological_proxy
1981-03-24,4.42,23.91,27.95,20.91,1.32,85.72,NASA POWER Daily,gridded_meteorological_proxy
1981-03-25,1.36,23.82,27.82,21.23,1.22,86.65,NASA POWER Daily,gridded_meteorological_proxy
1981-03-26,5.66,23.78,27.27,21.25,1.17,88.2,NASA POWER Daily,gridded_meteorological_proxy
1981-03-27,19.68,23.97,27.96,21.34,1.41,88.64,NASA POWER Daily,gridded_meteorological_proxy
1981-03-28,21.21,23.74,27.71,20.79,1.65,88.34,NASA POWER Daily,gridded_meteorological_proxy
1981-03-29,7.51,24.76,29.01,21.41,1.04,87.56,NASA POWER Daily,gridded_meteorological_proxy
1981-03-30,0.27,24.91,28.77,22.39,1.01,86.57,NASA POWER Daily,gridded_meteorological_proxy
1981-03-31,29.52,24.32,28.63,21.2,1.37,88.79,NASA POWER Daily,gridded_meteorological_proxy
1981-04-01,45.4,23.88,26.63,21.97,0.88,90.76,NASA POWER Daily,gridded_meteorological_proxy
1981-04-02,7.44,24.41,27.18,22.43,0.81,89.64,NASA POWER Daily,gridded_meteorological_proxy
1981-04-03,0.7,24.65,27.95,22.8,0.6,86.51,NASA POWER Daily,gridded_meteorological_proxy
