lead_day,window_start_wib,window_end_wib,rain_mean_mm,rain_p10_mm,rain_p90_mm,model_count,model_list,valid_date,initial_discharge_proxy_m3s,discharge_forecast_m3s,discharge_scenario_low_m3s,discharge_scenario_high_m3s,glofas_reference_m3s,glofas_reference_p25_m3s,glofas_reference_p75_m3s,hindcast_rmse_m3s,status
1,2026-08-01T11:00:00+07:00,2026-08-02T11:00:00+07:00,20.29759301192665,3.7349707481740206,47.20780828760593,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-01,7.93,11.006994570404009,2.3383093769708925,21.240282482369985,7.92,7.85,7.93,6.164342029759036,provisional_proxy_calibrated
2,2026-08-02T11:00:00+07:00,2026-08-03T11:00:00+07:00,19.182826062302308,6.8999999999999995,29.53852936003986,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-02,7.93,13.742520847613262,0.0,28.921366594206756,10.18,10.14,10.19,9.772723653502172,provisional_proxy_calibrated
3,2026-08-03T11:00:00+07:00,2026-08-04T11:00:00+07:00,6.725322533241475,2.669982942289022,12.09036808222353,6,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",2026-08-03,7.93,14.440694595724937,0.0,32.070376291144974,11.02,9.45,11.42,11.716135438083638,provisional_proxy_calibrated
