source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,ACTIVE,True,5,1.0,1.0,0,200,20,
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,5,1.0,1.0,0,200,615,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,5,1.0,1.0,0,200,621,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,5,1.0,1.0,0,200,628,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,5,1.0,1.0,0,200,609,
KMA,Open-Meteo / KMA,ACTIVE,True,5,1.0,1.0,0,200,606,
METEOFRANCE,Open-Meteo / Meteo-France,ACTIVE,True,5,1.0,1.0,0,200,644,
METNO,MET Norway,ACTIVE,True,5,1.0,0.9545,0,200,621,
UKMO,Open-Meteo / UK Met Office,ACTIVE,True,5,1.0,1.0,0,200,613,
