tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
20-07-2026,12:00,22.0,Cerah Berawan,73.0,7.5
20-07-2026,13:00,22.0,Cerah Berawan,73.0,7.5
20-07-2026,14:00,22.0,Cerah Berawan,73.0,7.5
20-07-2026,15:00,22.0,Cerah Berawan,73.0,7.5
20-07-2026,16:00,22.0,Cerah Berawan,73.0,7.5
20-07-2026,17:00,19.0,Cerah Berawan,89.0,3.8
20-07-2026,18:00,19.0,Cerah Berawan,89.0,3.8
20-07-2026,19:00,19.0,Cerah Berawan,89.0,3.8
20-07-2026,20:00,17.0,Cerah Berawan,93.0,1.1
20-07-2026,21:00,17.0,Cerah Berawan,93.0,1.1
20-07-2026,22:00,17.0,Cerah Berawan,93.0,1.1
20-07-2026,23:00,17.0,Cerah Berawan,93.0,1.1
