tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
12-09-2026,00:00,23.0,Udara Kabur,95.0,0.6
12-09-2026,01:00,23.0,Udara Kabur,95.0,0.6
12-09-2026,02:00,22.0,Berawan,96.0,0.4
12-09-2026,03:00,22.0,Berawan,96.0,0.4
12-09-2026,04:00,22.0,Berawan,96.0,0.4
12-09-2026,05:00,23.0,Udara Kabur,94.0,1.1
12-09-2026,06:00,23.0,Udara Kabur,94.0,1.1
12-09-2026,07:00,23.0,Udara Kabur,94.0,1.1
12-09-2026,08:00,28.0,Berawan,63.0,11.2
12-09-2026,09:00,28.0,Berawan,63.0,11.2
12-09-2026,10:00,28.0,Berawan,63.0,11.2
12-09-2026,11:00,30.0,Berawan,53.0,11.1
12-09-2026,12:00,30.0,Berawan,53.0,11.1
12-09-2026,13:00,30.0,Berawan,53.0,11.1
12-09-2026,14:00,30.0,Cerah Berawan,50.0,12.7
12-09-2026,15:00,30.0,Cerah Berawan,50.0,12.7
12-09-2026,16:00,30.0,Cerah Berawan,50.0,12.7
12-09-2026,17:00,26.0,Cerah Berawan,71.0,5.7
12-09-2026,18:00,26.0,Cerah Berawan,71.0,5.7
12-09-2026,19:00,26.0,Cerah Berawan,71.0,5.7
12-09-2026,20:00,24.0,Berawan,86.0,1.5
12-09-2026,21:00,24.0,Berawan,86.0,1.5
12-09-2026,22:00,24.0,Berawan,86.0,1.5
12-09-2026,23:00,24.0,Berawan,86.0,1.5
